category,bname,author,tag,,,,
都會愛情,涼心夏絮,肆夕,甜文,暗黑,重生,女性向,戀愛
奇幻,彼岸物語,安逸經,靈異神怪,冒險,異界,異能,妖怪
玄幻,文榆街的遺願相談所,東燁,靈異神怪,妖怪,,,
校園愛情,喜歡你的代號,Lena,戀愛,校園,,,
校園愛情,後繼者,云韻,虐心,療癒,校園,,
同人,閃GO-情感,初初,虐心,穿越,戰鬥,戀愛,校園
羅曼史,親愛的，別來無恙,榆莙,虐心,甜文,戀愛,,
都會愛情,夕陽色的訣別,端木冬粉,不限,,,,
百合,《花開不慢》（GL）,刃心,輕鬆,女性向,百合,療癒,戀愛
奇幻,光?照到你,?毛,暗黑,靈異神怪,輕小說,心情抒發,不限
其它,小蛇新詩集,小蛇hebi,暗黑,心情抒發,不限,療癒,日常
百合,撿隻小羊拎回家(GL),墨觴,百合,戀愛,日常,,
耽美,蘋果煙,雪鈅之獄,甜文,耽美,戀愛,日常,校園
羅曼史,親愛的，請妳在乎一下,君靈鈴,甜文,喜劇,輕鬆,女性向,戀愛
網遊,【手遊】傳說中的白月光,香草 vanilla,甜文,輕鬆,女性向,日常,搞笑
武俠仙俠,畫槌錄,草士,冒險,戰鬥,,,
都會愛情,等你，轉眼瞬間,雲風,爽文,甜文,輕鬆,青梅竹馬,
百合,散花集,白開水,百合,心情抒發,不限,,
玄幻,你的誓言，我的謊言,羅都,暗黑,異能,,,
恐怖靈異,惡魔之血,千夜繁星,虐心,輕小說,戰鬥,後宮,恐怖
百合,【GL】口生惡苦,色之羊予沁???( ˙?˙ )???,重生,百合,,,
耽美,星辰花　外篇　　失憶日後談,亞米珞,虐心,冒險,輕小說,耽美,
校園愛情,月色與雪色,薛九,甜文,喜劇,輕鬆,日常,校園
都會愛情,夢，回憶的妳,BK,戀愛,,,,
藝術設計,玻璃糖,涵今,不限,,,,
幽默/諷喻,圈養人,蘇忠,輕鬆,暗黑,輕小說,心情抒發,療癒
同人,火影之木葉女神,小蟲子,男性向,二創,戰鬥,,
玄幻,輪迴劫,清絃子,靈異神怪,冒險,戰鬥,異能,
同人,【名偵探柯南】我只是想安靜的養老,畢業君,輕鬆,暗黑,二創,,
其它,traumatique,Astaire,心情抒發,,,,
校園愛情,微風的悸動,秦荼,虐心,女性向,百合,戀愛,校園
同人,火影忍者卡卡西同人 - 火之穗影,夜行筆,甜文,冒險,女性向,二創,不限
奇幻,零能力繼承人(新版）,瑤光,輕小說,戰鬥,校園,,
耽美,電競方程式,季殃,輕鬆,清水,女性向,耽美,
藝術設計,於月下揮灑畫筆,龘玥,輕鬆,二創,心情抒發,不限,日常
奇幻,傭兵公會,星,冒險,戰鬥,戀愛,日常,
校園愛情,科學實驗王同人-彼此,茄伊,甜文,二創,戀愛,日常,校園
網遊,【網遊】你不是你，妳不是妳,清歡,輕鬆,冒險,女性向,輕小說,戀愛
同人,【獵人穿越】幻月傳,嘎苦露,爽文,穿越,冒險,二創,戰鬥
都會愛情,月下人心（後篇）,江乙呈,甜文,女性向,男性向,戀愛,搞笑
耽美,今天你喜歡上我了嗎？,林落,虐心,輕鬆,女性向,耽美,
校園愛情,在愛裡燃燒殆盡的我們,米兔,虐心,暗黑,,,
校園愛情,惡女的解藥,南宮瑾夜,女性向,異界,戀愛,校園,異能
校園愛情,花開滅之時,蒔,甜文,輕鬆,不限,戀愛,校園
耽美,【BL】聽說我住得是凶宅,風靈草,甜文,靈異神怪,女性向,耽美,恐怖
奇幻,來世，還要再當妳的貓,天兵,輕鬆,靈異神怪,冒險,療癒,戀愛
同人,【彩雲國物語同人】紫微,筱芷,輕小說,二創,青梅竹馬,,
校園愛情,問題美少女盡在我身邊,冰雪翎,男性向,輕小說,日常,校園,搞笑
同人,排少BL-憧憬之人,知乎 赭,甜文,女性向,耽美,二創,
耽美,《我厭世關你屁事》,相對之下,暗黑,耽美,不限,,
同人,【名偵探柯南】光與闇的交錯,似笑非笑,輕鬆,女性向,二創,不限,戀愛
校園愛情,聊天紀錄,嵐蘭,甜文,輕鬆,清水,療癒,戀愛
校園愛情,特別的那個我,邕滑滑,悲劇,女性向,輕小說,心情抒發,不限
校園愛情,倒追男神的六大步驟（原名：明天見）,諭魚,甜文,喜劇,戀愛,校園,
科幻,遠古的大地之母,月殼表面,輕鬆,異國,,,
校園愛情,科學實驗王同人-初戀,茄伊,二創,戀愛,日常,校園,
同人,【暗殺教室】目標是 老師！,lara,二創,日常,校園,,
奇幻,異世界來的異世界人管理者,笑望天,爽文,穿越,重生,百合,異界
都會愛情,女配角的逆襲大作戰,米宣兒,輕鬆,穿越,冒險,,
其它,愛情的路途,落花雨,輕鬆,心情抒發,不限,戀愛,
奇幻,怪物之死,琥珀,虐心,冒險,輕小說,異界,戀愛
奇幻,命殞殘夢,月洝諾,虐心,暗黑,異能,,
藝術設計,來自蒲公英的信,月洝諾,不限,,,,
奇幻,我的契約死神,覃子,悲劇,重生,靈異神怪,異界,
同人,閃十一 阿瑞斯 皇帝與死神,緋月,喜劇,輕小說,二創,異能,
驚悚推理,香江奇案之冷血屠夫,夕陽秋葉,恐怖,,,,
奇幻,異．神之子 劇情番外,二日夾,輕鬆,冒險,異界,異能,
奇幻,風翔蒼路,小築/Starfish,不限,,,,
同人,【鬼滅同人】六出飛花,妄隅,二創,不限,戰鬥,,
同人,【咒術同人】未知,妄隅,爽文,不限,戰鬥,搞笑,
同人,【暗殺教室同人】明月,妄隅,爽文,喜劇,輕鬆,女性向,不限
歷史,無雙立志傳,大野桃子,輕鬆,穿越,重生,戰鬥,搞笑
百合,青春,森璟,喜劇,輕鬆,百合,校園,搞笑
藝術設計,《夜間飛行 Design》,崠好,輕鬆,心情抒發,戰鬥,日常,
都會愛情,《隱藏》,月落,虐心,悲劇,女性向,輕小說,日常
溫馨勵志/成長療癒,《足印》,月落,虐心,悲劇,女性向,心情抒發,日常
羅曼史,如果的但是如果,嬋嬋,甜文,輕小說,,,
都會愛情,甦醒之愛,小小雪,虐心,輕小說,戀愛,搞笑,
校園愛情,餘夏的光,Zhen,不限,療癒,戀愛,日常,校園
校園愛情,孟夏蔚然,宕,甜文,女性向,青梅竹馬,戀愛,校園
校園愛情,從今天起你是我的前男友,奚日青,輕鬆,不限,青梅竹馬,,
耽美,紅礿之願,騎嵐玥,冒險,耽美,不限,,
藝術設計,Finish,無棠,療癒,,,,
都會愛情,《永夜為恆星守候》,望結,甜文,療癒,青梅竹馬,戀愛,
其它,對與錯，已經不重要了,來自加油站的小說家,暗黑,不限,戰鬥,異能,恐怖
奇幻,原罪戰役,冬眠,,,,,
校園愛情,LOVE詩集,淵阿,心情抒發,日常,,,
百合,【ABO】穿越後，我對上司一見鍾情GL,一片小小的雪花,爽文,甜文,穿越,百合,戀愛
奇幻,最初神話,越神,冒險,異界,異能,,
奇幻,歡迎蒞臨，德福事務所！,藍凌羽,輕鬆,靈異神怪,冒險,輕小說,戰鬥
同人,變形金剛穿越文---失落之鷹,神劍,甜文,穿越,二創,療癒,戰鬥
商業理財,我穿越到異世界找妹妹結果推翻了王朝第二劫──無勇,火火,穿越,不限,戰鬥,異界,異能
古代愛情,千金丫鬟,湛藍,穿越,重生,不限,,
校園愛情,借來的學長,桌川川（何奈）,喜劇,女性向,戀愛,校園,搞笑
都會愛情,摽梅之年,新茶 LJNT,甜文,喜劇,戀愛,,
百合,解剖師Anatomist (GL),福恩,冒險,女性向,百合,戀愛,
校園愛情,1823,淵阿,戀愛,日常,校園,,
都會愛情,錯位的愛情,一勺,虐心,甜文,戀愛,校園,
奇幻,寂寞國的影子：消滅ＯＯ的陰陽術對決,接近無限透明的藍,虐心,悲劇,冒險,戀愛,異能
科幻,救贖者-預選之女,Dream Chaser,甜文,冒險,女性向,輕小說,戀愛
恐怖靈異,[懸疑冒險]巴別塔計劃,明光,暗黑,靈異神怪,冒險,輕小說,恐怖
其它,束夢閣詩集,謝窺憐,心情抒發,戀愛,,,
百合,Lycoris Recoil 同人文,白噗噗,虐心,甜文,女性向,男性向,百合
百合,絕代風采,老娘,甜文,喜劇,輕鬆,百合,搞笑
同人,【白一武?】移星?斗,?月玖,女性向,耽美,二創,,
都會愛情,眉眼如初,無華,青梅竹馬,戀愛,,,
溫馨勵志/成長療癒,中國軍旅不倫戀,Lu Mei,虐心,異國,青梅竹馬,戰鬥,戀愛
都會愛情,剛好喜歡你,柚昕,清水,女性向,療癒,,
奇幻,皓月奇譚,汜羽荃,靈異神怪,戰鬥,戀愛,異能,妖怪
校園愛情,《我的直屬學長，你好呀》,慕槿,甜文,輕小說,戀愛,校園,
奇幻,克蘇魯的黎明,佐渡遼歌,冒險,輕小說,戰鬥,校園,異能
耽美,這年頭不上tag不標結局不能當偵探,Sanocon,輕鬆,清水,女性向,耽美,日常
百合,再次緊握妳的手(GL),墨觴,重生,百合,戀愛,日常,
耽美,[原創1] 小警員報恩記,moonlaker,甜文,輕鬆,女性向,耽美,戀愛
奇幻,地球戰隊,BK,輕鬆,冒險,輕小說,戰鬥,搞笑
羅曼史,非你不可,君靈鈴,甜文,喜劇,女性向,不限,戀愛
藝術設計,環環相扣製封專區~,白洛,不限,,,,
奇幻,永恆之血(二) - 真相(The Truth),TING,異國,冒險,女性向,,
校園愛情,失重後幸福,知筡,戀愛,校園,,,
奇幻,?仙轉生(異界的混沌),悠幻辰,穿越,輕小說,快穿,戰鬥,異界
奇幻,黑貓與德魯伊,常褢,靈異神怪,冒險,女性向,耽美,戀愛
玄幻,月下籤,不折花,喜劇,輕鬆,不限,戀愛,搞笑
科幻,星際先驅號,蒂娜,爽文,心情抒發,不限,戰鬥,戀愛
玄幻,人間釀,古月照今城,不限,,,,
科幻,神器-神泣,灰色貓,爽文,輕鬆,重生,心情抒發,不限
耽美,無愛之人,露露小魚小麻雀,虐心,悲劇,女性向,耽美,戀愛
奇幻,魔法高校生,冰雪翎,男性向,輕小說,戰鬥,,
校園愛情,《如果我們再見》,裴甯,清水,女性向,療癒,戀愛,校園
耽美,男神成了我的小三,草草泥,輕鬆,女性向,耽美,戀愛,
藝術設計,從電繪板開始的「藝視界」,晉晉然,心情抒發,不限,,,
同人,當我穿進排球世界圍觀cp,霜晴,輕鬆,耽美,二創,日常,校園
耽美,古木新花年年發,禪狐,靈異神怪,耽美,妖怪,,
其它,【記憶深處】Ｉ-太陽,司穎,女性向,耽美,戀愛,日常,
古代愛情,太子殿下不好當,墨子書,穿越,重生,靈異神怪,,
玄幻,穿越之生與死遊戲,幽夜,穿越,輕小說,異界,後宮,
奇幻,末後玩家,辰勾,穿越,冒險,戰鬥,異界,
人文科普,?誅神誅?,?愛神愛?,穿越,靈異神怪,戰鬥,異能,妖怪
玄幻,殺手，別怕,流星2世,重生,靈異神怪,戰鬥,戀愛,妖怪
都市,遇上強暴這件事,栗子地瓜,虐心,暗黑,日常,,
都市,無形波瀾,Udo,輕鬆,冒險,輕小說,日常,校園
奇幻,穿越成史帝夫的我今天依然精神滿滿,易衍,輕鬆,穿越,輕小說,二創,戀愛
都市,緣來自滑冰,皓月夜汐,輕鬆,日常,,,
百合,【GL】風箏指路,Afar鷗,百合,,,,
武俠仙俠,陰陽雙劍,醉竹苑,女性向,輕小說,戰鬥,,
同人,《暗殺教室》-色彩斑斕,白星,輕小說,二創,,,
都會愛情,hi女人妳是誰,阿蒙西西林,爽文,甜文,不限,戀愛,節操
百合,金魚、棒棒糖、妳(GL),當大麥升起時kk,百合,不限,,,
商業理財,黃善誠《拐點共振趨勢戰法》,Justice York,不限,,,,
歷史,陶庵十賦,傅正玲,悲劇,女性向,男性向,療癒,
都會愛情,我笑著講你，卻也哭著想你,草覓,虐心,戀愛,,,
同人,【暗殺教室】白色風信子,雨凡,女性向,二創,,,
校園愛情,夏夜徐徐，浮光冬雪,冉陽,虐心,甜文,百合,戀愛,校園
驚悚推理,窺,月雨海魅,悲劇,暗黑,穿越,靈異神怪,恐怖
其它,笨蛋妹控的戀愛喜劇,天羽黑月,戰鬥,戀愛,校園,搞笑,妹控
文藝評論,[繪本]17項SDGs主題34本繪本推薦：〈繪本、博物館、紀錄片與行動〉計畫 Part1,小葉白筆,心情抒發,不限,療癒,日常,校園
武俠仙俠,[請協助翻譯]伏魔傳-108魔星與安史之亂,城作也,靈異神怪,冒險,戰鬥,,
都會愛情,濁,丁凌凜,虐心,暗黑,女性向,戀愛,日常
武俠仙俠,輪迴仙界,計時人員,穿越,冒險,異界,,
都會愛情,愛，再為你勇敢一次,雨恩,喜劇,輕鬆,戀愛,,
其它,隨筆,于音/凜夜,輕鬆,心情抒發,不限,日常,
都市,坏蛋叔叔求放?,冰?色大西瓜,爽文,虐心,悲劇,女性向,
玄幻,葬仙,子夜,冒險,不限,,,
同人,東卍?月光 (別名：大家都想拐帶我),紫沫?,穿越,重生,耽美,青梅竹馬,戀愛
溫馨勵志/成長療癒,致．青春,氣泡人,日常,校園,,,
其它,神話傳說,雪月,輕小說,百合,,,
藝術設計,日日皆歡喜,米菇,心情抒發,不限,療癒,,
奇幻,隱形守護者,白天雨,輕鬆,冒險,輕小說,校園,妖怪
奇幻,轉生到異世界繼續當奸商,風之使者,重生,輕小說,戰鬥,異界,異能
耽美,聽見呼叫請回答,東波,靈異神怪,女性向,耽美,校園,
百合,道德感告訴我GL,福恩,校園,搞笑,,,
都會愛情,戒紅癮,骨媛媛,虐心,靈異神怪,不限,,
校園愛情,《予你的第三個願望》,YC,甜文,清水,戀愛,校園,
都會愛情,因為遇見你,竹子豆花,虐心,甜文,輕小說,,
耽美,魚落圈,阿立,耽美,療癒,,,
校園愛情,黏度最佳戀人,樂凡,甜文,青梅竹馬,戀愛,校園,
校園愛情,《殊途》,薩佐,爽文,校園,異能,,
藝術設計,Wind flower,忘魚,不限,,,,
同人,亮光同人,霜晴,輕鬆,耽美,,,
校園愛情,如魚得水,凵雨,戀愛,校園,,,
生活風格,我想要日常可可愛愛,凝妤,輕鬆,心情抒發,不限,療癒,日常
同人,神奇寶貝之最終序章,神秘人二世,穿越,冒險,二創,不限,
奇幻,新人教官的日常,敘嵐,輕小說,戰鬥,日常,校園,異能
校園愛情,當夏荷綻放,摸西摸西,戀愛,,,,
奇幻,月球噪音,墨綠衣服,穿越,輕小說,,,
商業理財,蔣明誠防騙指南,Kakol,不限,,,,
都市,墨龍 Dark Dragon (改),墨焰凜,悲劇,異國,冒險,輕小說,不限
商業理財,Sftimo,猿飛阿斯瑪,不限,,,,
傳記/文學史,人生所經歷的事情就足以構成一本散文集!,水木沐,不限,療癒,日常,,
奇幻,天國宴席 之一 珍珠的力量,珞玄,穿越,,,,
都市,囚困,花?miyu,暗黑,異國,女性向,不限,
同人,論平靜生活什麼時候才會來到,問號云,靈異神怪,冒險,女性向,輕小說,搞笑
溫馨勵志/成長療癒,動物戀愛諮詢,吐維,女性向,耽美,戀愛,日常,
商業理財,陳澤坤投資法則,戈爾巴羅夫,不限,,,,
商業理財,秦筱芳精華講義,秦筱芳,不限,,,,
百合,穿越之云与海GL,?坡,爽文,虐心,穿越,百合,戀愛
百合,?流作家俏警花,?坡,甜文,喜劇,輕鬆,百合,療癒
藝術設計,Siao Yun 不專業塗坊,曉雲,女性向,耽美,二創,心情抒發,不限
校園愛情,四季戀之歌,Emily,甜文,輕小說,戀愛,校園,
溫馨勵志/成長療癒,雲朵綻,蓓莓草,甜文,冒險,輕小說,療癒,青梅竹馬
校園愛情,青春薄霧,滑板兔,虐心,女性向,校園,,
百合,Last cigarette,森璟,虐心,百合,,,
奇幻,[西幻]狂信徒攻略女神的正確方式,寂靜深空,甜文,穿越,女性向,異界,日常
奇幻,我成立隱藏於暗影中的最強軍團,天翔,爽文,冒險,輕小說,戰鬥,
藝術設計,日曬,Quetzal,療癒,日常,,,
校園愛情,我穿?了自己?的小?里,尤子今,喜劇,穿越,戀愛,校園,搞笑
奇幻,守護神的啟示,吹雪,輕小說,戰鬥,異界,後宮,異能
都會愛情,【完結】獻給艾莉卡,路奎,日常,,,,
古代愛情,我在第一個千禧年等你,若愚,穿越,重生,戀愛,後宮,
奇幻,王之后冠-番外,悅陽,爽文,異國,冒險,女性向,異能
校園愛情,有你的每一夜,蕎奶,甜文,女性向,戀愛,校園,
校園愛情,哪朵玫瑰不帶刺,信智,輕小說,戀愛,,,
武俠仙俠,九仙宗,無敵正義棕熊,爽文,穿越,靈異神怪,,
心靈養生,陪你去賞三日月後的黎明,在眼淚裡游泳的魚,心情抒發,不限,療癒,,
武俠仙俠,反派的求生路程,nightrain,穿越,重生,輕小說,耽美,妖怪
耽美,守恆定律,戰帆,清水,耽美,不限,日常,
武俠仙俠,刀神,冰如劍,冒險,,,,
同人,萬界系統,夜聲,爽文,冒險,男性向,二創,後宮
奇幻,創始之劫,一葉障目,戰鬥,異界,異能,,
耽美,【耽美】染上玫瑰色,瑭碧,女性向,耽美,日常,校園,
奇幻,非人管理所(修改版),茶葉梗(棉花喵),輕鬆,輕小說,異界,,
武俠仙俠,屍滿江山儷人行:第一部—火燒藥人谷,冰野玄,暗黑,冒險,男性向,戰鬥,後宮
百合,夏堇與巫女,田子犬,喜劇,清水,輕小說,百合,校園
奇幻,尋找幸福要在穿越後,覓福,穿越,異國,冒險,戰鬥,戀愛
生活風格,憂鬱日記,測試中,虐心,悲劇,心情抒發,療癒,
羅曼史,圓缺,瑜瓔,虐心,甜文,悲劇,女性向,
百合,把全世界的溫暖都給她,kane.,虐心,百合,戀愛,日常,校園
都會愛情,承認吧，就是喜歡,任苒,甜文,喜劇,戀愛,日常,
奇幻,女孩的童話,晴羽,暗黑,輕小說,不限,,
生活風格,我明白了什麼叫幻聽了,緋村劍心,悲劇,暗黑,心情抒發,不限,日常
百合,安卓利亞,泡福,清水,女性向,輕小說,百合,
奇幻,學長的鱗片（修稿中）,雪袖子,甜文,女性向,戀愛,校園,妖怪
網遊,《徐徐誘之》,朝覓覓,甜文,喜劇,輕鬆,女性向,戀愛
武俠仙俠,老天爺呀！我穿越了！,阿嫆兒,穿越,耽美,不限,,
其它,黃善誠防騙手則,Chad Mcneilyu,不限,,,,
傳記/文學史,[邀稿]POPO作家們的創作日常習慣分享,小葉白筆,輕鬆,心情抒發,不限,療癒,日常
玄幻,竹州-首卷,?清,穿越,靈異神怪,輕小說,耽美,日常
校園愛情,扉聲之鑰·天籟心弦(夢想篇) Follow Your Dreams·Voice,安瑪.蜜柑,虐心,甜文,喜劇,輕鬆,輕小說
奇幻,《被善意&惡意包裹的新世界》 異世界輕小說穿越類型作品,dinosaur,暗黑,穿越,冒險,輕小說,異界
奇幻,邪惡戰勝正義,Weizhe,異國,冒險,戰鬥,校園,
同人,境界觸發者-同盟,初初,虐心,二創,療癒,戰鬥,戀愛
商業理財,陳澤坤防騙知識,列寧,不限,,,,
商業理財,新心談史,Bob Night,輕小說,,,,
百合,天命,供過佛的多多綠,靈異神怪,百合,妖怪,,
生活風格,逃,小烏,輕鬆,異國,日常,,
